category,name,title,description,creator,youtube_url,template_url,date_posted,resource_url,id
Airbnb MCP Agent Workflow,This feature makes building AI Agents 10x easier (MCP server setup),"In this video, Rory Ridgers demonstrates a dedicated AI agent system that leverages MCP servers to streamline Airbnb data queries. The workflow uses a community node from GitHub to list available Airbnb functions and execute the appropriate tool based on dynamic parameters. This technical setup bypasses the need for hardcoded API calls by pulling a JSON schema for tool configuration, enabling efficient and flexible Airbnb searches. The free, open‐source template allows users to quickly integrate this system.",Rory Ridgers,https://www.youtube.com/watch?v=QnPlb0VCcpE,https://drive.google.com/file/d/1Tw5tliKKpVYFH-NCkNAM9cTcGxd3jvWg/view?usp=drive_link  https://drive.google.com/file/d/1NY2e1K1G5KoByQ3nR9N0n85F5T8LIKqI/view?usp=drive_link  https://drive.google.com/file/d/18v98uQ-QkCkovMpLdb-6YpJ99vUw9ar8/view?usp=drive_link,2025-03-20T21:07:28.000Z,https://github.com/nerding-io/n8n-nodes-mcp,QnPlb0VCcpE
MCP AI Agent Workflow,Claude MCP has Changed AI Forever - Here's What You NEED to Know,"In this video, Cole Medin demonstrates a complete AI agent workflow built on the Model Context Protocol (MCP), integrating various services using a free n8n community node template. The system standardizes tool usage across services such as Brave search and Stagehand via MCP servers, enabling a plug-and-play approach for AI agents. The tutorial covers setting up credentials, executing tool calls, and even shows a free template for rapid integration.",Cole Medin,https://www.youtube.com/watch?v=v_6EXt6T83I,https://drive.google.com/file/d/1PdCrvv2Tt-uEGTcuBmu69O2jLpKyOrp-/view?usp=drive_link  https://drive.google.com/file/d/1yqXLc318sICay3sCahk_rQGzYOaX_jrt/view?usp=drive_link  https://drive.google.com/file/d/1NjvaiT-uQXR2pV8pPbwezmbZWOb8_YAC/view?usp=drive_link ,2025-03-20T00:00:48.000Z,https://github.com/modelcontextprotocol/servers,v_6EXt6T83I
Resume Screener,This AI Resume Screener Will Change How You Hire Forever!,"Mahmut Kasimoglu demonstrates a robust AI resume screening workflow that automates candidate evaluation using a no-code automation tool. The system integrates Gmail triggers for email-based resume intake, AirTable for data management, and employs multiple AI models (GPT-4o, Claude 3.5, Gemini 2.0 flash, and o3 mini) within evaluator/optimizer and voting parallelization patterns. The workflow processes PDF/HTML resumes, extracts structured data, and iteratively aggregates scores. A free template is available via the linked community resource.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=lGnsQ3qWUmk,https://drive.google.com/file/d/1MSG1DN458vUafEhYZH30eEHotJsy2e1B/view?usp=drive_link,2025-03-18T22:13:21.000Z,https://www.skool.com/business-ai-alliance/video-on-resume-screener-is-out,lGnsQ3qWUmk
MCP Workflow Setup,"Ultimate No Code MCP Setup Guide (Self-Host, Installation, Common Issues)","In this detailed setup guide, Nate Herk walks you through deploying a self‐hosted MCP system using n8n's community nodes. The video demonstrates installing the MCP community node via a free GitHub repository, configuring connections to various MCP servers, and integrating tools like Airbnb search, Brave search, and Airtable. It covers command execution with MPX, parameter handling, and environment variables to streamline automation without terminal commands, all backed by free resources.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=OUPW4DJMAsA,https://drive.google.com/file/d/1D2_NfUDEWV7UIxUBci_7CR6kKlfwL-T9/view?usp=drive_link,2025-03-17T22:03:48.000Z,https://www.skool.com/ai-automation-society/new-video-ultimate-no-code-mcp-setup-guide-self-host-installation-common-issues,OUPW4DJMAsA
Website Chatbot,Add ChatGPT To Your Website In Minutes (n8n AI Chatbot),"In this video, Jono Catliff demonstrates a complete n8n workflow for adding an AI chatbot to a website. The system integrates an embedded chat trigger with an AI agent that uses OpenAI for responses and a secondary workflow for invoice generation, leveraging an HTTP request to communicate with Go High Level. The workflow includes dynamic data extraction (name and email collection) and a resume URL mechanism to continue execution after external processing. Free blueprints are provided via a Gumroad template.",Jono Catliff,https://www.youtube.com/watch?v=4VD-6dFQJsk,https://drive.google.com/file/d/1cGgIf2-fYp11MV5d3FhDSUuD1bgwCe5_/view?usp=drive_link  https://drive.google.com/file/d/1TeG1KpLru6o0b7CK78lmKECIpfNl3t4y/view?usp=drive_link ,2025-03-16T16:13:31.000Z,https://gumroad.com/d/f0535ba72e57696a0d50cf4ccc769a34,4VD-6dFQJsk
Twitter Data Scraper,How to Actually Scrape Twitter/X Data with n8n,"This system demonstrates an end-to-end workflow for scraping Twitter/X data using a free template shared by Nate Herk. It leverages the Twitter API with advanced search parameters, dynamic pagination using cursors, and a looping mechanism to extract tweet details such as IDs, URLs, content, likes, views, and dates. The workflow utilizes HTTP request nodes, code nodes for data parsing, and Google Sheets for data storage, all orchestrated within an automated n8n environment.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=lEo7IAgj0UY,https://drive.google.com/file/d/1Zg5rvw2q9PV437VzxjAhLp7eWrHM9YqD/view?usp=drive_link,2025-03-15T01:37:17.000Z,https://www.skool.com/ai-automation-society/new-video-how-to-actually-scrape-twitterx-data-with-n8n,lEo7IAgj0UY
Scraper Agent,This n8n Agent can scrape ANYTHING (no code),"This workflow is a no-code scraping AI agent built in n8n by Rory Ridgers. It integrates multiple tools to scrape data from LinkedIn, Google Maps, Trustpilot, and websites. The system uses Telegram triggers for user input, HTTP request nodes to interact with Apify actors for scraping, and a secondary workflow for converting HTML to markdown with a TAV API integration. It also features an OpenAI chat model with a buffer memory. The free template is available via Commonous.",Rory Ridgers,https://www.youtube.com/watch?v=TDB-St0V5vM,https://drive.google.com/file/d/1LuHzN-7UETUS2XeIR5KLort05KV1UXEm/view?usp=drive_link  https://drive.google.com/file/d/1IpqzqaQTf2ublU2SiuLsqlpsyrQ3-X_j/view?usp=drive_link  https://drive.google.com/file/d/1nPKpOw4bYc37MR4ItNb7MqVEaCsDtYeZ/view?usp=drive_link ,2025-03-14T18:58:09.000Z,https://commonous.com/templates/068198eb-3b7c-406b-90a9-a027d943b996,TDB-St0V5vM
Local AI Cloud Deployment,Create Your Own Private Local AI Cloud Stack in Under 20 Minutes,"Cole Medin demonstrates a full cloud deployment of a local AI stack, integrating LLM (Ollama), databases (Supabase, Qdrant), automation agents (n8n with Flowise), local search (SearXNG) and a user interface (Open WebUI). The setup uses Docker containers, secured endpoints via Caddy, and detailed firewall/DNS configurations for subdomains. This free, open-source system extends an original n8n template and is available on GitHub for immediate use.",Cole Medin,https://www.youtube.com/watch?v=hKrl5Gr7hM0,https://drive.google.com/file/d/1s94exFWhqQeFSxvvNPsm9i12LwpyVdLD/view?usp=drive_link,2025-03-13T00:00:40.000Z,https://github.com/coleam00/local-ai-packaged,hKrl5Gr7hM0
Faceless Shorts Automation,How I Automated Faceless Shorts with AI in n8n (free template),"Creator Nate Herk presents a comprehensive AI-powered workflow that automates faceless shorts production. The system uses a Google Sheets trigger for content ideas, an agent for generating detailed image and sound prompts, and integrates multiple APIs including Pi API (flux image generation), Runway (video synthesis), 11 Labs (audio creation), and Creo mate for final video rendering. The result is a fully automated process that uploads generated videos to YouTube.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=Gc03J27xmBc,https://drive.google.com/file/d/1kaelJeo5Th8d_gW43NmlFq4JBFSvzWd-/view?usp=drive_link,2025-03-12T05:28:07.000Z,https://www.skool.com/ai-automation-society/new-video-how-i-automated-faceless-shorts-with-ai-in-n8n-free-template,Gc03J27xmBc
AI Fine-Tuning Workflow,How to Fine-Tune Models the EASY WAY Using ChatGPT & n8n (No Code),"This system demonstrates a no‐code workflow for fine-tuning OpenAI models by integrating generated JSONL training data from ChatGPT with automated progress monitoring. It features two methods: a direct fine-tuning using the OpenAI Playground and an advanced setup that leverages Airtable to trigger webhooks and track metrics like training loss, epochs, and batch sizes. The workflow uses API calls, real-time testing, and a feedback loop to compare outputs. Created and explained by Mark Kashef, the video provides free template assets via a Gumroad link.",Mark Kashef,https://www.youtube.com/watch?v=dvksJK8TTQE,https://drive.google.com/file/d/1N1G-pzAC_eHMZlLIc2yA_8kaTRj1Yt2k/view?usp=drive_link  https://drive.google.com/file/d/1kmwq2z0gSt0THfu7gaJkAn5OP1Pk_JxZ/view?usp=drive_link ,2025-03-10T20:37:56.000Z,https://gumroad.com/d/c07de68c08912dd47102fd7b62878822,dvksJK8TTQE
Agentic RAG Workflow,Store All Data Types with Agentic RAG in n8n,"This n8n workflow implements an Agentic Retrieval Augmented Generation (RAG) system that processes diverse data types using a Superbase vector database and SQL queries for tabular data. The system dynamically retrieves, embeds, and aggregates PDF content and structured sales data while using file content fetching and error-handling nodes. Built by Nate Herk with a featured template by Cole, it offers a robust, free automation template to enhance AI agent reasoning before querying.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=BhGaGFH0jR4,https://drive.google.com/file/d/1Vw3_4cDrwjTSN3pEpZ14EKntDdOJGZ0D/view?usp=drive_link,2025-03-08T20:04:37.000Z,https://www.skool.com/ai-automation-society/new-video-store-all-data-types-with-agentic-rag-in-n8n,BhGaGFH0jR4
Viral Content AI,I Built an AI SYSTEM For Viral Content (n8n Tutorial),"This system is a complete workflow that automates the analysis of viral Instagram Reels and other social media videos. It scrapes data from Instagram using Apify, organizes influencer data from Airtable, and then processes video content through Google Gemini AI for detailed analysis of hooks, ideas, and scripts. The workflow is set up in n8n and is designed for content creators and agencies. Created by Oleg Melnikov, the system is available as a free template.",Oleg Melnikov,https://www.youtube.com/watch?v=zEzcwjZf7c8,https://drive.google.com/file/d/17qrwc62-4CH6SfjD4-PORhcmpjWbVwgE/view?usp=drive_link,2025-03-06T04:41:32.000Z,https://docs.google.com/document/d/1zZqR1Nb-YZrVLuBoCbxERP0Usdp9ZyZ89ddfVmQYITo/edit?tab=t.0,zEzcwjZf7c8
Local AI RAG Agent,The ULTIMATE n8n RAG AI Agent Template - Local AI Edition,"Creator Cole Medin details a local agentic RAG AI workflow built with n8n. The system enables offline, secure Retrieval Augmented Generation by triggering file ingestion (PDF, CSV, text), extracting content, splitting text, and storing document data in PostgreSQL. It integrates SQL query capabilities for tabular data and uses Ollama for local LLM processing, alongside voice API tools like Cartesia. The free GitHub template offers a complete no-code solution for advanced document automation.",Cole Medin,https://www.youtube.com/watch?v=T2QWhXpnT5I,https://drive.google.com/file/d/152Q2fgzduqmE1EpjadZu8WkwGtLtcYrU/view?usp=drive_link,2025-03-06T01:00:18.000Z,https://github.com/coleam00/local-ai-packaged/blob/main/Caddyfile,T2QWhXpnT5I
Google Sheets Automation,Google Sheets on Autopilot: 11 Insane n8n Automation Hacks,"This video showcases a comprehensive automation workflow that integrates Google Sheets with n8n. The system uses triggers, webhooks, filters, and conditional logic to detect changes, update or append rows, and implement inline functions for calculations. It also demonstrates AI integration using ChatGPT for auto-classification and error handling, all while addressing rate limiting issues. The free blueprint template provided via Gumroad by Jono Catliff is featured throughout the tutorial.",Jono Catliff,https://www.youtube.com/watch?v=c8D1PP2erbo,https://drive.google.com/file/d/1FrH_-Qenv9ZaIQ3A7T-MAfqhAu-JEQwD/view?usp=drive_link,2025-03-03T20:13:50.000Z,https://gumroad.com/d/f44476b12ac4c79e1c5f4c57060fb6e3,c8D1PP2erbo
Outlook Inbox Manager,"How to Build an Outlook Inbox Manager in n8n (Step-by-Step, No Code)","This video walks through building an Outlook Inbox Manager automation system that routes emails based on AI-powered classification. It leverages an Outlook trigger to detect incoming mail, cleans HTML content using an OpenAI node, and uses a free flash 2.0 model for text classification into high priority, billing, and promotional branches. Each branch employs tailored logic including moving emails, drafting responses, and sending Telegram notifications. Created by Nate Herk, the free template is available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=h7BLVKh7yzc,https://drive.google.com/file/d/1UuoqORnry6tnEDSp9m0I9qYGJM32Sshf/view?usp=drive_link,2025-03-02T02:45:22.000Z,https://www.skool.com/ai-automation-society/new-video-how-to-build-an-outlook-inbox-manager-in-n8n-step-by-step-no-code,h7BLVKh7yzc
Technical Analyst AI Agent,How to build Technical Analyst AI Agent with N8N,"This system is a complete workflow for automated stock analysis. It integrates Telegram triggers, an audio/text transcription pipeline using OpenAI, and a GPT-4 based technical analysis agent to generate advanced stock charts. The workflow utilizes an external API (chartimg.com) for dynamic chart creation with indicators like candlestick patterns, RSI, and volume, and saves tickers for daily automated reports. Created by 5minAI (Mark and Philipp), it enables no-code trading insights with a free community template.",5minAI,https://www.youtube.com/watch?v=94vh6hSiP9s,https://drive.google.com/file/d/1f8TnvD8CK8A0QIUCAZ7kuKChpEOYu0Jp/view?usp=drive_link,2025-03-01T16:40:59.000Z,https://www.skool.com/5minai/classroom/b4afa5e9?md=6e5fd2fb48a444c7bf60f982ebc55cef,94vh6hSiP9s
Website Chat Agent,How to Build a Website AI Agent in 13 Min (Free N8N Template),"In this detailed tutorial, Nick Saraev demonstrates a complete workflow to build a website chat agent within 13 minutes using a free template. The system integrates an AI chatbot using an OpenAI Chat model with window buffer memory, and it leverages Google Calendar APIs for event retrieval and booking. The setup includes configuring an embedded chat widget via CDN code, along with instructions on prompt customization and dynamic scheduling, making it ideal for businesses.",Nick Saraev,https://www.youtube.com/watch?v=c2kaOwkkhpo,https://drive.google.com/file/d/1YG9P3Jzqs4TIgEzaTEPMPpIKHTWujhmx/view?usp=drive_link,2025-02-28T23:52:37.000Z,https://gumroad.com/d/64be4ce873efb46c021b2e04c899a595,c2kaOwkkhpo
Agent Creator,I Built An n8n Agent That Builds Other Agents (Game Changer),"Mark Kashef demonstrates a highly technical system that leverages a core workflow to generate fully functional automation agents from simple textual prompts. The method uses JSON blueprint conversion, subflow invocation, deep research with perplexity, and integrations with Slack, Google Sheets, and Google Calendar to create self-building workflows. The video details how the agent scans a large automation database and outputs a clickable import link for immediate use. A free template is provided via Gumroad.",Mark Kashef,https://www.youtube.com/watch?v=mQ-2lcl3svc,https://drive.google.com/file/d/1xuUSr26-imVhXdOYtgvRj6dC1Q64qyB3/view?usp=drive_link  https://drive.google.com/file/d/1gyD0h4PC-0LoPGqYLYSaqvIAnbBU36EH/view?usp=drive_link ,2025-02-27T22:16:12.000Z,https://gumroad.com/d/7e2fc07712eaf21514159930de61340d,mQ-2lcl3svc
Agentic RAG System,I Built the ULTIMATE n8n RAG AI Agent Template,"In this video, Cole Medin presents an advanced Agentic RAG system that overcomes traditional RAG limitations by dynamically switching between vector-based document lookups and SQL-driven analysis of tabular data. The workflow includes modules for file extraction from Google Drive, intelligent data chunking, Postgres and Supabase integration, and embedding using OpenAI's models. This comprehensive setup enables accurate source citation, improved context retrieval and detailed data analysis. The free template is available on GitHub.",Cole Medin,https://www.youtube.com/watch?v=mQt1hOjBH9o,https://drive.google.com/file/d/10iNT-cKrcFepYwBE9KjI0EVk4EsZcTMv/view?usp=drive_link,2025-02-27T01:00:44.000Z,https://github.com/coleam00/ottomator...,mQt1hOjBH9o
Agent Communication Workflow,"Make Your Agents Communicate Better in n8n (Feedback, Specifying Inputs, Agent Logs)","This workflow demonstrates a multi-agent architecture where a parent agent communicates with child agents to perform tasks like story generation. It details the use of system and user messages, branching for error handling, and parameter validation (e.g., main character, setting, adventure) within a robust automation setup. Creator Nate Herk explains triggering sub-workflows, routing data via JSON, and managing execution logs to ensure seamless agent communication.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=vwlx-e8UYC8,https://drive.google.com/file/d/1P6nmdLur8KaXBa0yC9UYtyWsmQrOG-Ap/view?usp=drive_link  https://drive.google.com/file/d/1OYUcXCCe6O5HSK30lfOqx_cC1LhVO8en/view?usp=drive_link  https://drive.google.com/file/d/1DAhQB9mCTPmJAL4rckstYdZ5nIOFReHp/view?usp=drive_link ,2025-02-24T18:39:51.000Z,https://www.skool.com/ai-automation-society/new-video-make-your-agents-communicate-better-in-n8n-feedback-specifying-inputs-agent-logs,vwlx-e8UYC8
AI Email Agent,Build your first Ai Agent on n8n (no code),"In this video, Rory Ridgers demonstrates a complete workflow to build an AI email automation agent. The system uses a chat trigger as input and integrates a GPT-4 based chat model for decision making, alongside a memory node to maintain context. Built with tools that interact with Google Sheets for contact lookup and Gmail for sending and retrieving emails, the agent responds to natural language prompts. A free template is provided via Commonous for instant deployment.",Rory Ridgers,https://www.youtube.com/watch?v=DAbnhOOFuD8,https://drive.google.com/file/d/1hMSUQzkyxfgd_Xddd48tzrrjK0T7cxd0/view?usp=drive_link,2025-02-24T18:00:16.000Z,https://commonous.com/templates/0b7d855d-7924-400b-aae1-3cc60573d0c8,DAbnhOOFuD8
Viral Instagram Reels,Copy Top Viral Reels in 1 Click with THIS AI automation,"This system uses a no-code workflow to automatically scrape and analyze viral Instagram reels. It integrates with Airtable to fetch creator records, utilizes an API module to retrieve reel details, and processes data with looping and sorting modules. The workflow then downloads the video, uploads it for Gemini analysis, and uses OpenAI prompts to generate detailed guidelines on how the reel starts, ends, and its key elements. Built by 5minAI creators, Mark and Philipp, the free template is available via their community.",5minAI,https://www.youtube.com/watch?v=SQPPM0KLsrM,https://drive.google.com/file/d/1z6ViyFn1ROskvJNMTWCIfwHAG14HmdNB/view?usp=drive_link,2025-02-24T10:31:41.000Z,https://www.skool.com/5minai/classroom/b4afa5e9?md=b31de45234e642c99c3e1c8114bbd451,SQPPM0KLsrM
