category,name,title,description,creator,youtube_url,template_url,date_posted,resource_url,id
Lovable Web App Builder,This Lovable + n8n Hack Builds Web Apps FOR You In Minutes (No Coding),"This workflow leverages Lovable's natural language coding tool integrated within an n8n automation to create custom web applications in minutes. The system uses webhook triggers, HTML scraping for website content cleanup, and API calls like Dolly3 for image generation and OpenAI for text creation. User inputs such as company name, industry, and website URL are processed to dynamically generate tailored social media posts. The free blueprint template, provided by creator Jono Catliff, allows users to import and run the complete workflow immediately.",Jono Catliff,https://www.youtube.com/watch?v=i08K-l8pjfs,https://drive.google.com/file/d/1g1By_B5MBr1R7KDdHvN4NHAaf9Ysmi8g/view?usp=drive_link,2025-04-28T17:05:23.000Z,https://gumroad.com/d/8d04a4f048918ecb4294f34839851686,i08K-l8pjfs
Marketing AI Team,I Built a Marketing Team with 1 AI Agent and No Code (free n8n template),"This system builds an all-in-one AI marketing team using no-code automation. The workflow integrates multiple AI agents that create and edit images, generate LinkedIn posts, blog articles, and video content automatically via a Telegram interface. It leverages OpenAI's image and editing endpoints, Google Drive and Sheets for logging, external APIs like Runway and CreativeMate for video rendering, and Flux image generation via HTTP requests. Created by Nate Herk, the video provides a free template through a Skool community resource.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ldETapkr8Hg,https://drive.google.com/file/d/1a9FskKLV_AgxUNPgb_CUOLKke97Ox3Sx/view?usp=drive_link https://drive.google.com/file/d/1WEWSJJZmMCg_Ii4U2I0fO-2xJwil_bVL/view?usp=drive_link https://drive.google.com/file/d/171-HNdf_RkGeVTZQppEANBzjRT8f42Ij/view?usp=drive_link https://drive.google.com/file/d/152aOdjNfmL--KpXTFj1m5Bw-mQkLI8N3/view?usp=drive_link https://drive.google.com/file/d/1yT36iHGZKk0mYLVvLnEgFDE87Tcr3Ore/view?usp=drive_link https://drive.google.com/file/d/1dN1KqlBJZsps_ww5sH2oSvl420AtjYY7/view?usp=drive_link https://drive.google.com/file/d/11OdlUx1lpDR57BFgWKRl0Nq795Au7f4b/view?usp=drive_link ,2025-04-26T19:39:40.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-a-marketing-team-with-one-ai-agent-and-no-code-free-n8n-template,ldETapkr8Hg
Faceless Video AI,This EASY AI Agent System Creates Faceless Videos on Auto Pilot! (Free n8n and Make templates 🍄),"This system automates the creation and publishing of faceless videos via an AI agent workflow. It uses an initial node to brainstorm and write video scripts, then calls a unified API to generate AI videos with voiceovers, images, and animations. The workflow further includes steps for video rendering and publishing on social media. Developed by Sabrina Ramonov, this free template integrates various AI and API services for seamless content automation.",Sabrina Ramonov 🍄,https://www.youtube.com/watch?v=0qf0blCB4Mc,https://drive.google.com/file/d/1OcC7yl7UGsEJbK2Sty0GiNxKAX0jlJX4/view?usp=drive_link  https://drive.google.com/file/d/1q6rJa6kudBtTTxeZKfwRT_F2PcTHGONa/view?usp=drive_link ,2025-04-26T16:34:07.000Z,https://www.sabrina.dev/p/easy-ai-system-creates-faceless-videos-on-auto-pilot,0qf0blCB4Mc
Image Creation and Editing System,This n8n Agent Creates & Edits Images with OpenAI's New Image API,"This system is a complete workflow built in n8n that integrates with OpenAI's new Image API for generating and editing images via natural language prompts. It includes three subflows: one to create images using models like gpt-image-1 (with support for Dolly 2 and Dolly 3), one to edit images by referencing existing assets, and one to log details in Google Sheets. The automation features an AI agent that smartly routes commands based on context and converts images to Base64 for Google Drive storage. Created by Mark Kashef, it offers a free downloadable template for immediate use.",Mark Kashef,https://www.youtube.com/watch?v=YqEtFVAV7M8,https://drive.google.com/file/d/1-J4bR_Xx6v_eBNqLV9-dEMNf4b9qz1p2/view?usp=drive_link  https://drive.google.com/file/d/1ZPOll5ZvYVvir_84JZSaSDtWwi6nn0zr/view?usp=drive_link  https://drive.google.com/file/d/1-3_hYyaIYBZPDdLkaTVVTM4-H4Yg75ll/view?usp=drive_link  https://drive.google.com/file/d/1P1fq0hB2v2156GqlX7DEevxXkrvDOaff/view?usp=drive_link ,2025-04-25T18:03:51.000Z,https://gumroad.com/d/76e31aa9467fb157c2bb4beac61d41f4,YqEtFVAV7M8
Viral Shorts Automation,I Built an AI SYSTEM For Viral Faceless Shorts (n8n),"This system is a fully automated AI pipeline designed to create viral faceless shorts. It uses scheduled triggers to pull data from Google Sheets, generate fresh content ideas through chat-based AI, and produce visuals with PI API (16:9 aspect ratio). Videos are created via runway ML (using gen3/4 models), merged with CreateTomate, and finally published on YouTube through Google Cloud's API integrations. Developed by Oleg Melnikov, the workflow is available as a free template.",Oleg Melnikov,https://www.youtube.com/watch?v=oMcLgseGER0,https://drive.google.com/file/d/1tKfWJp_sYJkF-evhwWfJ8PZtgKIKBfqV/view?usp=drive_link,2025-04-25T12:48:27.000Z,https://docs.google.com/document/d/1DYlu0RbaUv-bvBDkUZSdHDhDdrltJ6gShdIwEZwrdbc/edit?tab=t.0,oMcLgseGER0
ChatGPT Automation System,This ChatGPT SECRET Automates Nearly Everything (connect 10K+ apps with n8n),"This system integrates ChatGPT with a multi-app workflow to automate tasks such as call scheduling, invoice processing, and spreadsheet updates. It leverages free blueprints that guide users through setting up custom webhook triggers, API integrations, and a custom GPT generator. Key components include HTTP GET/POST methods, Google Sheets, and third-party API interactions, demonstrated by creator Jono Catliff.",Jono Catliff,https://www.youtube.com/watch?v=YcDLVPYIRSA,https://drive.google.com/file/d/1u7pLhTuXyh_wVFpzNMyj5n3JVEgN9lF8/view?usp=drive_link,2025-04-25T00:27:19.000Z,https://gumroad.com/d/57836896cd1d287ad408de27f74346a6,YcDLVPYIRSA
AI Image Automation,Use OpenAI's NEW Image Generation API with n8n to create stunning images (Step by Step Tutorial),"MagicOps AI demonstrates a workflow that connects OpenAI's new image generation API with an automation platform to create stunning visuals. The system uses HTTP request nodes to call the API, processes Base64 strings to convert images to files, and integrates Google Drive for storage. It supports both text-to-image and image-to-image transformations for generating recipe images and enhancing product photos. Free template available via Gumroad.",MagicOps AI,https://www.youtube.com/watch?v=SAUxo5fcLMs,https://drive.google.com/file/d/1t4D_qE2hlc-ao6Fi0U2Zo1L3UvLwWgA8/view?usp=drive_link,2025-04-24T13:00:31.000Z,https://gumroad.com/d/1c9cc62b035887723dd7143fa759e4d3,SAUxo5fcLMs
Customer Support Automation,Build a No-Code AI Customer Support System That ACTUALLY Works,"This video details a comprehensive no-code automation system for customer support built using n8n. The workflow integrates community posting (using Circle), a ticketing dashboard via Airtable, and an AI agent that leverages a search tool and perplexity API to provide tailored responses. The system automatically creates, updates, and resolves support tickets, ensuring efficient status tracking. Developed by Ben AI, it features HTTP webhooks, API calls, manual mapping, and automated status updates for real-time support.",Ben AI,https://www.youtube.com/watch?v=mJwZPK2A7cM,https://drive.google.com/file/d/1VVhH-po9vp3OWewlxNAuCNWnAZQD1Dmi/view?usp=drive_link,2025-04-24T05:32:46.000Z,https://bens-ai.circle.so/c/freebie-resources/ai-customer-support-ticketing-system,mJwZPK2A7cM
LinkedIn Visual Automation,"OpenAI's Image API Just Changed the Game (save 10+ hours/week, n8n tutorial)","In this workflow, Nate Herk demonstrates a comprehensive AI automation system for marketing on LinkedIn. The process begins with a form submission gathering email, post topic, and target audience, and then uses two AI agents: one to generate a research-backed post and another to convert it into a dynamic image prompt. The system integrates the OpenAI Image Generation API, Tavi for web search, and HTTP request tools for API calls along with binary conversion. A free template is available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ACkHpQQnfxQ,https://drive.google.com/file/d/1dbB79dIiKGkotbZcPNVk4pNPoczN_vnj/view?usp=drive_link,2025-04-23T23:56:03.000Z,https://www.skool.com/ai-automation-society/new-video-openais-image-api-just-changed-the-game-save-10-hoursweek,ACkHpQQnfxQ
Job Search Automation,Automate Your Job Search With LinkedIn & n8n,"This n8n workflow automates the entire job application process on LinkedIn. It creates a custom RSS feed to pull job listings, extracts job details via HTTP requests, and employs OpenAI (using GPT models) to rate job fit and generate tailored cover letters. The workflow also updates a Google Sheet to deduplicate and store job data. Created by Jono Catliff, the system is delivered with a free blueprint template on Gumroad.",Jono Catliff,https://www.youtube.com/watch?v=dYNFqM84pSI,https://drive.google.com/file/d/1wwXndI5OydELz4rpFW4V_-Tax-y3mmir/view?usp=drive_link,2025-04-23T13:00:03.000Z,https://gumroad.com/d/6586a9922ec798c3f4ce37e03c746c8e,dYNFqM84pSI
Inbox Automation,Automate Your Inbox With n8n (No Code),"This video by Nolan Harper from the AI Automation Vault details a no-code workflow to automate email management. The system uses a Gmail trigger to monitor incoming mails, a text classifier to route emails into categories like promotions, internal, customer support, and sales, and integrates OpenAI models for drafting AI responses. It also leverages Slack for notifications and uses a free template available via the AI Automation Vault for seamless replication.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=UDXDcFwAPQU,https://drive.google.com/file/d/17OYXI08wdcgIWDf-WqJ_v-V9AHRqBMrP/view?usp=drive_link,2025-04-21T17:00:38.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=cd5a5ed32cbd4dda828fd2cd8c32637b,UDXDcFwAPQU
Error Logger Workflow,One n8n Workflow for Unlimited Error Handling (Step-by-Step),"In this detailed video tutorial, Nate Herk from AI Automation demonstrates a precise error logging system built within n8n. The workflow uses a global error trigger that funnels errors from various active workflows into a dedicated error logger, which appends data like timestamps, workflow names, workflow URLs, node names, and error messages into a Google Sheet. It also sets up notifications via Slack and other channels. The free Google Sheet template is available by joining Nate Herk's Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=bTF3tACqPRU,https://drive.google.com/file/d/1_EF3ESE9zRSrFNVgMwhMcTm23JwYzWLW/view?usp=drive_link,2025-04-20T16:52:54.000Z,https://www.skool.com/ai-automation-society/new-video-set-up-error-handling-in-9-minutes-in-n8n-step-by-step,bTF3tACqPRU
Think Tool Agent,n8n Just Dropped a Game-Changing Tool for AI Agents — Inspired by Anthropic!,"This video by Mahmut Kasimoglu explains a dedicated workflow that leverages the new Think tool – a scratchpad feature inspired by Anthropic – to enhance AI agent reasoning in multi-step processes. The system integrates a personal assistant agent that simulates tools such as email, calendar, CRM, and Slack, and employs tailored prompts and system instructions to improve execution reliability and planning. The workflow is available as a free JSON template in the free Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=MPyQWs8dOpI,https://drive.google.com/file/d/1SNpBbNphUAmjSJRDEdJ-YO_VTkoMGJ2A/view?usp=drive_link,2025-04-19T17:23:22.000Z,https://www.skool.com/business-ai-alliance/video-on-n8ns-new-think-tool-for-ai-agents-is-out,MPyQWs8dOpI
Meta Ad Automation,How we Automated a Meta Ad Agency with AI,"Ben AI demonstrates a comprehensive automation workflow for a meta ad agency that streamlines product research, ad angle creation, script generation, and performance tracking. The system integrates Airtable, the Facebook Graph API, Scrapfly web scraping, and AI services such as Perplexity and Google Gemini 2.5 Pro. Using webhooks and multi-phase processing in n8n, it optimizes ad campaigns by analyzing ROI, making it a powerful, fully automated solution. Template provided by Ben AI.",Ben AI,https://www.youtube.com/watch?v=Rm3ObJXsuOI,https://drive.google.com/file/d/1mkQLWY1YS59RNuFR7Q8d-GKwk34FlwQz/view?usp=drive_link,2025-04-19T06:21:26.000Z,https://bens-ai.circle.so/c/freebie-resources/inbound-sales-agent-wa-insta-fb-m-12c376,Rm3ObJXsuOI
Automated Hiring Workflow,How I Automated the Entire Hiring Process with n8n,"This system automates the entire hiring process by integrating email triggers from Indeed with Gmail, Google Sheets, and cal.com. It leverages an OpenAI agent to extract job titles from unstructured email subjects and uses custom Google Apps Script to sync candidate data while dynamically routing stages—from initial application and onboarding to screening, testing, and interview scheduling. Created by Jono Catliff, this workflow blueprint is provided as a free template.",Jono Catliff,https://www.youtube.com/watch?v=dBTrOcWkYM0,https://drive.google.com/file/d/1qm916r1TGLBihsGOGJRMx_asQVyiKprd/view?usp=drive_link,2025-04-18T23:40:40.000Z,https://gumroad.com/d/dd1eec54f82896ea873452948ed14498,dBTrOcWkYM0
Email & Complaint Automation,Don't Build Another AI Agent Until You Understand This: AI Agents vs AI Workflows ~ n8n,"In this video, Mahmut Kasimoglu demonstrates two specific n8n systems built for automation: an email labeling system and a complaint ticket processing system. Both systems show a direct comparison between an AI agent approach and an AI workflow approach. The email system uses a Gmail trigger, LLM-based classification, tool calls to get label IDs, label emails, and send notifications, while the complaint system integrates Google Sheets and email notifications. A free template for these workflows is available via his Skool community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=nQbd56j_dZ0,https://drive.google.com/file/d/1TDMcJcOcdzCXNFv-_T-CBNzLWli14SDD/view?usp=drive_link,2025-04-18T20:21:05.000Z,https://www.skool.com/business-ai-alliance/dont-build-another-ai-agent-until-you-understand-this-ai-agents-vs-ai-workflows-n8n,nQbd56j_dZ0
MCP Integration,n8n Just Released MCP - Is It The Future of AI & No Code?,"This video demonstrates a complete MCP integration workflow that leverages a dual-flow setup with an MCP client and MCP server trigger. The system enables communication between AI agents (like Claude and OpenAI) and external tools (Google Sheets, Google Calendar) via SSE endpoints, tool discovery, and auto-generated schemas. The blueprint and free template allow users to import a ready-made automation for AI-driven tasks. Creator: Jono Catliff.",Jono Catliff,https://www.youtube.com/watch?v=Nw0v1-24x5w,https://drive.google.com/file/d/1a32FZaRDmUr8f8ah63rpl2z0cn0atbTn/view?usp=drive_link  https://drive.google.com/file/d/1PtaM-y2dzyD2JzhTecr9hNI0Q1QtwXV_/view?usp=drive_link ,2025-04-18T00:39:56.000Z,https://gumroad.com/d/4a819aa5,Nw0v1-24x5w
AI Think Agent System,n8n Just Leveled Up AI Agents (Anthropic's Think Method),"In this video, Nate Herk demonstrates an AI agent workflow that leverages a new Think Tool inspired by Anthropic's structured reasoning approach. The system integrates multiple agents—including contact, email, calendar, and web search tools—to execute multi-step tasks such as scheduling events, sending notifications, and fetching quotes. It highlights advanced LLM integrations (e.g., GPT 4.1 and Claude 3.5) and tool output analysis for sequential decision-making with in-built validation steps. The free template is available via the Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=WqyLxyALTt0,https://drive.google.com/file/d/1zCMh9PYMXoWbEntB6Oq00IlMgmZQ6B2Z/view?usp=drive_link,2025-04-17T01:24:11.000Z,https://www.skool.com/ai-automation-society/new-video-n8n-just-leveled-up-ai-agents-anthropics-think-method,WqyLxyALTt0
WhatsApp AI Agent,How to add AI Agents to WhatsApp using n8n (Step-by-Step Guide),"This video presents a comprehensive WhatsApp AI agent workflow built entirely using n8n. The system integrates the WhatsApp Business Cloud API with Meta Developer platform setup, leveraging OpenAI for voice transcription, image analysis, and natural language processing. It handles text, image, and audio inputs with custom routing using switch nodes, and includes features like conversation memory and real-time web search. The creator, Leon van Zyl, also offers a free downloadable workflow template via GitHub.",Leon van Zyl,https://www.youtube.com/watch?v=LekI91ISf_8,https://drive.google.com/file/d/1qp0uJFG9h6Ps6mHWqhdIbdweg6gdJKWZ/view?usp=drive_link,2025-04-16T13:57:52.000Z,https://github.com/leonvanzyl/n8n-workflows/tree/main/2025/whatsapp-agent,LekI91ISf_8
Claude MCP Content Automation,"Automate Anything With Claude MCP Workflows, Here's how:","Ben AI demonstrates a robust automation system that integrates Claude MCP workflows with n8n for content repurposing. The system uses cloud triggers to orchestrate a series of tools: YouTube transcription, fine-tuned LinkedIn post generation, dynamic image creation via external APIs, and Air Table/Webflow updates. The workflow is designed for social media and blog content automation with human-in-loop iterations, offering a detailed, step-by-step solution. Free template available.",Ben AI,https://www.youtube.com/watch?v=_je0FbUcFkg,https://drive.google.com/file/d/1gow-LHalspkMCuQCI7xp580C4LbTThbx/view?usp=drive_link  https://drive.google.com/file/d/1uqYk4jyWDpcSeUbeWO0JnqYEnvqeDQs8/view?usp=drive_link  https://drive.google.com/file/d/1OBNRFIscIzI16NscMGZk259fYCXbOmZ5/view?usp=drive_link ,2025-04-16T07:41:58.000Z,https://bens-ai.circle.so/c/freebie-resources/claude-mcp-content-workflows,_je0FbUcFkg
Social Media Scraper,Steal This AI Post Scraper (Free n8n Build),"This system automates scraping of posts and video transcripts from multiple social platforms including LinkedIn, Instagram, YouTube, and X. Built entirely in n8n, it integrates HTTP request nodes, AI text classification, and Google Sheets for deduplication and data aggregation. The workflow leverages pre-built Appify scrapers and looping mechanisms for batch processing. Created by Nolan Harper, this free template enables competitor research, content repurposing, and audience insights.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=fhxqdoP7ivE,https://drive.google.com/file/d/14m6BvV1jlPb5_Esv_CRCfM9K3bDmCc3M/view?usp=drive_link,2025-04-14T17:00:49.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=9cbd84cbb03b46aa945d79bf4f1cca59,fhxqdoP7ivE
