name,title,description,creator,youtube_url,template_url,date_posted,resource_url,id
Make Workflow Converter,How to EASILY Convert Make Automations to n8n (No Code),"In this system, Mark Kashef demonstrates a method to convert Make.com JSON blueprints into fully functional automation templates for n8n. The workflow leverages a Google Drive trigger for file monitoring, converts binary data to JSON, and employs advanced node mapping using GPT-03 and Perplexity for error checking and handling unsupported integrations. It supports batch processing and includes robust validation steps, all available via a free template accessible through the Gumroad link.",Mark Kashef,https://www.youtube.com/watch?v=bK_4qJiQ5IM,https://drive.google.com/file/d/17VOc0_yCn5Q1lG_Rpv-_Ox7Ri_WDoZKH/view?usp=drive_link,2025-02-21T18:00:35.000Z,https://gumroad.com/d/1c00cbda759e740d715f1dacdfcf0fb6,bK_4qJiQ5IM
Voice AI Caller,This n8n AI Voice Agent Will Call Anyone For You (100% automatic),"This system automates voice calls using an AI agent built in n8n. It orchestrates a voice AI that integrates a ChatGPT-based model, short-term memory, and various tools like Telegram triggers, HTTP requests for web scraping via Appify from Google Maps, and integrations with Google Contacts and Calendar for booking. Outbound calls are managed through Vapi. Developed by Jono Catliff, this free blueprint is available via Gumroad.",Jono Catliff,https://www.youtube.com/watch?v=k3mcttDLJB4,https://drive.google.com/file/d/1VD_WTaUoLRgG-dWuPJ71_bLMCzgLtpmO/view?usp=drive_link  https://drive.google.com/file/d/13gBZ5nag70oAodLHS7ugVnRRgKXYoVY-/view?usp=drive_link  https://drive.google.com/file/d/1CE769nokIMWCZA3_MQ9UZn3jyQ08x0I-/view?usp=drive_link  https://drive.google.com/file/d/1vcjpBNx_kd8kmHe-JNsitNO8sqVEiMFy/view?usp=drive_link ,2025-02-20T04:01:15.000Z,https://gumroad.com/d/38c7cb272a876c8c3cf1ba76da94dea1,k3mcttDLJB4
Calendar Agent,I Built a Human in the Loop Calendar Agent in n8n with No Code,"This workflow demonstrates a human-in-the-loop calendar system that automates scheduling tasks by combining intent, feedback, and correction agents. It integrates Google Calendar for creating, updating, and deleting events; Airtable is used for contact verification; and Telegram serves as the interface for human confirmation. Built and demonstrated by Nate Herk, it ensures conflict checking, attendee verification, and dynamic adjustments—all without a single line of code.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=z-gDDajSSNE,https://drive.google.com/file/d/1KPcGwRPH_o0BZ9x3ISRcPOdmImu8yYEB/view?usp=drive_link,2025-02-19T22:02:57.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-a-human-in-the-loop-calendar-agent-in-n8n-with-no-code,z-gDDajSSNE
Upwork Automation Agent,I Built An AI Agent That Automates Upwork ($500K+ Earned),"This system automates Upwork job applications by orchestrating an AI agent that triggers multiple workflows: one generates a tailored application copy, another creates a dynamic Google Docs proposal using a pre-designed template, and a third produces a mermaid diagram for workflow visualization. It leverages ChatGPT prompt engineering, workflow triggers, and API integrations with Google Drive to deliver a high-quality, revenue-driving automation solution. Created by Nick Saraev.",Nick Saraev,https://www.youtube.com/watch?v=0LVTTv9zxwE,https://drive.google.com/file/d/1GxyOkaCQ2jijODNNNg_GYD8MLsBtgWeS/view?usp=drive_link  https://drive.google.com/file/d/11mOiQAb2CPdJ6B30A-y4dn_LuAaIrWMN/view?usp=drive_link  https://drive.google.com/file/d/1B-JV6NDdd0vkiIsaM39hOi_AHdbOrgsV/view?usp=drive_link ,2025-02-19T02:42:44.000Z,https://gumroad.com/d/6dcba85f6fbda2d9a6073c7837499832,0LVTTv9zxwE
Local AI Supabase Agent,Run Supabase 100% LOCALLY for Your AI Agents,"Cole Medin upgrades the original local AI package by the n8n team by integrating Supabase into the stack, providing a local, Dockerized solution for AI agents. The system leverages n8n for workflow automation, incorporates Supabase as both an SQL database and PGVector-based vector store for RAG, and works alongside tools like Ollama and Flowise. This detailed setup demonstrates container orchestration, environment variable configuration, and troubleshooting, all built on a free template available on GitHub.",Cole Medin,https://www.youtube.com/watch?v=pOsO40HSbOo,https://drive.google.com/file/d/1HTNCir9RFmYGV6XWAhsVvVwjUHyGVl3t/view?usp=drive_link,2025-02-17T01:00:41.000Z,https://github.com/coleam00/local-ai-packaged,pOsO40HSbOo
AI Life Assistant,This n8n AI Assistant Will Manage Your Life (Automate Everything),"This workflow is a comprehensive AI personal assistant built on a n8n blueprint by Jono Catliff. It automates a range of tasks including calendar management, email handling, document processing (PDF to JSON extraction), Airtable task updates, and social media content generation. Integrated modules include Telegram triggers, HTTP requests, voice agent functionalities with vapi, and data merging for multi-type inputs. The free template is available via the provided Gumroad link.",Jono Catliff,https://www.youtube.com/watch?v=iEzr0GdFitU,https://drive.google.com/file/d/1un7zmUQzszQeYemiiQa_BgRBg-mSa0IC/view?usp=drive_link  https://drive.google.com/file/d/1IbG_ETQc4PuLmseh1QV-JOa7hlKPBEWM/view?usp=drive_link  https://drive.google.com/file/d/1HQIKlEMlPHraWAEBGbhacURjqaQmggM-/view?usp=drive_link  https://drive.google.com/file/d/1EOQJW9laQQEkq6ePmbpa1-w6kTUK3Uml/view?usp=drive_link  https://drive.google.com/file/d/1rYXqD60yhZ0r8uXrp4dSjDd4FUGywUkr/view?usp=drive_link  https://drive.google.com/file/d/1IBuRANFwJITSUZZF8OwjZAWa2ft3Ssza/view?usp=drive_link  https://drive.google.com/file/d/19Nd5VkE5-tHPvyqeX1VI0c59daHvwt1o/view?usp=drive_link ,2025-02-16T16:00:45.000Z,https://gumroad.com/d/7ce0f7f3c8a557cff7df00a58461e024,iEzr0GdFitU
AI Voice Travel Agent,I Built an AI Voice Travel Agent with ElevenLabs and n8n (Free Template),"This system implements an AI Voice Travel Agent that leverages ElevenLabs for realistic voice interactions and automates travel planning via a detailed workflow. It collects travel details via a webhook and retrieves flights, hotel, and activity information using APIs (including Ser API and Tavali), then formats a personalized HTML email with airport codes, dates, and amenities. Created by Nate Herk, the free template is available through his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=5zhTxuuPc3A,https://drive.google.com/file/d/1_pRzOQMU0E_uitCxAilcvelukXOLTfOl/view?usp=drive_link,2025-02-16T02:12:34.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-an-ai-voice-travel-agent-with-elevenlabs-and-n8n,5zhTxuuPc3A
Google Maps Scraper,This AI Agent Can Scrape ANYTHING (100% Automatic),"In this workflow, Jono Catliff demonstrates an AI agent built on n8n that automates web scraping from Google Maps. The system leverages an HTTP request module to interact with a web scraping API (via Apify), parses dynamic JSON data using expressions, and aggregates results into Google Sheets. It features an AI agent using OpenAI's ChatGPT model for command interpretation and memory buffering. All components are tied together to scrape industry-specific search data, making it a robust, free, and importable template.",Jono Catliff,https://www.youtube.com/watch?v=VAaFsqu5NE8,https://drive.google.com/file/d/1wEG5BF066ilFle4EUHVl4RNwE6-VggHG/view?usp=drive_link  https://drive.google.com/file/d/1pyJaRo4ayUTs_2keEhSfhWqJOMsgj8Pe/view?usp=drive_link  https://drive.google.com/file/d/1aXlcOBkJoC9v2Fj-w3kobxmsizFf6pd7/view?usp=drive_link  https://drive.google.com/file/d/1sv-fvplAXeKxJyn2-KMX0nV980wN7-OM/view?usp=drive_link  https://drive.google.com/file/d/1fdFCPyDjEgsaumrZ3J6TT2x4LpkCwZhX/view?usp=drive_link  https://drive.google.com/file/d/1sT552PlkviUPBhCL-EUDdF9v14xfJig6/view?usp=drive_link ,2025-02-15T19:16:14.000Z,https://gumroad.com/d/c2f0b73487e92de5ddcb5ac890689201,VAaFsqu5NE8
RAG AI Agent,Create This RAG n8n AI Agent in 30 Minutes (You'll Use This Daily),"In this video, Jono Catliff builds a fully functional RAG AI agent workflow using n8n. The system uses Google Drive as a trigger to detect new documents, uploads file data to a Pinecone vector store with OpenAI text embeddings and a recursive text splitter, and integrates Airtable to automatically generate tasks. This detailed example shows the integration of APIs and AI agents within a robust automation pipeline. The free blueprint template is provided by the creator on Gumroad.",Jono Catliff,https://www.youtube.com/watch?v=KC34sUqgU5A,https://drive.google.com/file/d/1DePiMuwOnKru3Llo2uZjVPaj9VKLxKcs/view?usp=drive_link  https://drive.google.com/file/d/1teQpVLs-3_nX6itv0GjRH5sg9yte2LB8/view?usp=drive_link ,2025-02-14T01:18:12.000Z,https://gumroad.com/d/67e085d486bd6fa5825ef73750392c93,KC34sUqgU5A
Automated Email Manager,This n8n AI Agent Will Manage Your Email Inbox (100% Automatic),"Jono Catliff demonstrates an AI-powered email management system for Gmail that uses a free n8n workflow. The workflow automatically classifies emails into categories such as promotions, social, personal, sales, receipts, and miscellaneous using an AI text classifier powered by ChatGPT (GPT-4 mini). It then performs actions like labeling, summarizing, drafting replies, forwarding messages, and appending data to Google Sheets. The system integrates Gmail, OpenAI, Google Sheets, and custom logic. Free blueprint available on Gumroad.",Jono Catliff,https://www.youtube.com/watch?v=l0SiFihbetA,https://drive.google.com/file/d/16fEk0SgtcGqijGYBIrmZgfR13AQAJJX9/view?usp=drive_link,2025-02-12T23:17:49.000Z,https://gumroad.com/d/3de675e1ed25174fd07a331abc42e158,l0SiFihbetA
