category,name,title,description,creator,youtube_url,template_url,date_posted,resource_url,id
Content Creation & Video Automation,Viral ASMR Shorts,This AI System Posts Viral ASMR Shorts Hourly (free template),"A fully automated system using n8n integrates Google V3's text-to-video AI to generate ASMR glass-cutting fruit videos. It employs an idea agent with a structured output parser to select unique subjects and a prompt agent to create cinematic, detailed video prompts. The workflow leverages foul API for video generation, Google Sheets for rotating recent items, and Botato for auto-posting on YouTube, Instagram, and TikTok. Created by Nate Herk, the free template is available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=RvuPRX-b7Lc,https://drive.google.com/file/d/1iyeZv71q308XlZXzxIKyNvnAd_CKoO9I/view?usp=drive_link,2025-06-22T13:52:16.000Z,https://www.skool.com/ai-automation-society/new-video-this-ai-system-posts-viral-asmr-shorts-hourly-free-template,RvuPRX-b7Lc
Business Process Automation,Client Onboarding System,I Built an AI System that Onboards Clients in 30 Seconds (Free n8n Template),"This system automates new client onboarding via a form-triggered workflow. It creates client folders in Google Drive, sets up project lists and tasks in ClickUp, and configures a dedicated Slack channel with personalized welcome messages. An AI agent parses proposal and scoping documents to extract actionable tasks with due dates. The integration leverages APIs for Google Drive, ClickUp, Slack, and Gmail. Creator: Nolan Harper.",Nolan Harper | Ai Automation,https://www.youtube.com/watch?v=gXKzEt1ZG38,https://drive.google.com/file/d/1jGUC5vcD2W0cOhtIfDwLGdMtMw4OuROY/view?usp=drive_link,2025-06-21T17:07:33.000Z,https://www.skool.com/ai-automation-vault/classroom/69b7bb57?md=5538a9df70084be1a59177e684e448a9,gXKzEt1ZG38
AI Agent Development,AI Agent Team Builder,I Built an AI Agent that Builds Entire Teams of AI Agents in n8n (free template),"This workflow is a no-code system built by Nate Herk that uses an AI agent to generate complete JSON-based automation flows on demand. It integrates Slack triggers, Gmail, Calendar, and Google Sheets for logging, using Anthropic's Claude Opus 4 for natural language processing and output generation. The system provides detailed configuration via sticky notes, API integration, and a step-by-step setup guide, making it ideal for rapidly deploying custom automations.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=Ik8OHT3w4pE,https://drive.google.com/file/d/1YidfszPBryjmb2nC1Eeig94X187bnYmq/view?usp=drive_link,2025-06-18T13:40:32.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-an-ai-agent-that-builds-entire-teams-of-ai-agents-in-n8n-free-template,Ik8OHT3w4pE
Marketing & Advertising Automation,FB Ad Spy Tool,Build A Facebook Ad Spy Tool With N8N (Sell for $2k+),"This system is a fully automated Facebook Ads Scraper and Analyzer built on n8n by Nick Saraev. It uses Appify to scrape Facebook's Ad Library and categorizes ads into video, image, and text types. The workflow integrates OpenAI's GPT-4.5 for rewriting ad copy, Gemini API for video analysis, and stores data in Google Sheets. Intelligent filtering and dynamic routing ensure accurate ad analysis. A free template is provided via Gumroad.",Nick Saraev,https://www.youtube.com/watch?v=0PJNiDuihBg,https://drive.google.com/file/d/1whrqvO_wTk_NFhufCd3oqD0ZiSk9kaWI/view?usp=drive_link,2025-06-18T05:30:00.000Z,https://leftclicker.gumroad.com/l/hxtpe,0PJNiDuihBg
Data Processing & Analysis,AI Video Analysis,The Simplest Setup for FREE AI Video Analysis (n8n + Google Gemini),"This video demonstrates a fully automated workflow that uses a no-code engine to perform video analysis via Google Gemini. The system supports both local file uploads and YouTube URLs, employing polling to monitor the status of the video processing. It covers technical details such as setting up Google API credentials, configuring HTTP requests with header parameters, handling binary video data, and prompting Gemini for detailed analysis (e.g., summarization, insight extraction). The template is provided free through Nate Herk's Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=acB2o6nwAn8,https://drive.google.com/file/d/1UYTwp5P0zyz-kpZrQ6vlVH36d-zkPZSM/view?usp=drive_link,2025-06-12T15:38:50.000Z,https://www.skool.com/ai-automation-society/new-video-the-simplest-setup-for-free-ai-video-analysis-n8n-google-gemini,acB2o6nwAn8
Content Creation & Video Automation,Viral AI Videos,Generate VIRAL AI Videos Using Veo 3 in N8N! (No Code - Free Template),"Creator Mahmut Kasimoglu demonstrates an advanced workflow system that automates viral AI video generation. The setup uses a manual trigger, Google Sheets for data retrieval, and an AI prompt agent to craft cinematic scripts. It integrates HTTP requests to FAL AI's V3 model and employs Google's flow tool for free video output via a looping status-check. The free template can be accessed via his Free Skool Community.",Mahmut Kasimoglu | AI Automation,https://www.youtube.com/watch?v=axBR8S7AepQ,https://drive.google.com/file/d/1N6CHyusk8ucayPuJswGlcpp7Rf2xe9dR/view?usp=drive_link,2025-06-12T14:42:57.000Z,https://www.skool.com/business-ai-alliance/generate-viral-ai-videos-using-veo-3-in-n8n-no-code-free-template,axBR8S7AepQ
Design & Creative Automation,Graphic Design AI Agent,Watch Me Build a Graphic Design AI Agent Team That Works 24/7 (n8n),"In this comprehensive live build, Nick Saraev demonstrates a graphic design AI agent system developed in n8n. The workflow leverages OpenAI's GPT Image 1 for automated logo, style guide, and gradient background generation, integrating Google Drive for file uploads and sharing, and using Replicate API for upscaling and revisions. With HTTP requests, iterative sub-workflows, and dynamic agent logic, this system refines visual assets in real-time. A free template is offered via Maker School.",Nick Saraev,https://www.youtube.com/watch?v=DrqR7a7lmBE,https://drive.google.com/file/d/1zVQCaCBccYJWNTAoSsuLUCaeGN8CRYcL/view?usp=drive_link  https://drive.google.com/file/d/1qLal1xQDZPgUKe2ojKqEa8AiI5S5D6M2/view?usp=drive_link  https://drive.google.com/file/d/1Rt6fUSjNZtWYESJSZHkfw5TeRUwOyAIz/view?usp=drive_link  https://drive.google.com/file/d/1fkqt-ec9CIAWGxtwNy31OGueAGEuA6kF/view?usp=drive_link  https://drive.google.com/file/d/16wtHAysAuS7rN76hTm5kSifMedZ0i_Mf/view?usp=drive_link ,2025-06-12T05:30:16.000Z,https://gumroad.com/d/41d2d2bdb3edf261fe9530ed67f0e9c1,DrqR7a7lmBE
Technical Infrastructure & DevOps,Local AI Agent Workflow,The Ultimate Guide to Local AI and AI Agents (The Future is Here),"Cole Medin's masterclass details how to build a local AI system featuring an n8n workflow agent. The video covers setting up open‐source components such as Olama, Superbase, CRXNG, and Open Web UI to create a private, offline AI solution. It explains LLM configuration, quantization, Docker containerization, and cloud deployment while providing a free n8n agent JSON template for easy import.",Cole Medin,https://www.youtube.com/watch?v=mNcXue7X8H0,https://drive.google.com/file/d/1amYKoQv0mqN_Jhe9bxEhqJSiU7A_Vw7J/view?usp=drive_link  https://drive.google.com/file/d/1iKSmt_tyavpEvit0fIQQQ2V_RLvmZWPg/view?usp=drive_link  https://drive.google.com/file/d/1Q95VtcuCRdOfsLmvpoXvlNo-PKj39oAR/view?usp=drive_link  https://drive.google.com/file/d/1d2bixc0qdq97bj3vFsKSXj7dlYFI_ArE/view?usp=drive_link  https://drive.google.com/file/d/1O-N2NridLujr_PH0tWlYyLaAIbTsERj7/view?usp=drive_link  https://drive.google.com/file/d/14aBnJ_yZWlzU25dC1VpnWR23DLNr1g8A/view?usp=drive_link  https://drive.google.com/file/d/1XypTaRApkT1FMLQqH9vXsz5j-9wkw-Fg/view?usp=drive_link  https://drive.google.com/file/d/1AGAIa55ot77KF_5Z3hMY5By4ziSKrQGG/view?usp=drive_link  https://drive.google.com/file/d/1JJ78kPhPJ_tP8zqChWHEnhq13K65nhwc/view?usp=drive_link  https://drive.google.com/file/d/1Xu9Egek6OYsIOcONMipJDhIZOKpkyqF5/view?usp=drive_link  https://drive.google.com/file/d/1UV5KPK-3N9eHEyROEBujeYd76imhkz-0/view?usp=drive_link  https://drive.google.com/file/d/1C9kQNI7dzyAFAe22uggted99xnNbb-0k/view?usp=drive_link  https://drive.google.com/file/d/14QMXz8WS3y_pvEC2h_iBiAL_HP_J7aV1/view?usp=drive_link  https://drive.google.com/file/d/1J3XIipadoaP26R75CJThe_TGVmmznwro/view?usp=drive_link https://drive.google.com/file/d/1EnYajiXsJqLj7Z5mrGH5gLgyEiH2wRma/view?usp=drive_link https://drive.google.com/file/d/15e7FTAwSaE4gQug90E2upjDv2enDI1Os/view?usp=drive_link https://drive.google.com/file/d/1Se-uu6ah8Xa5S9WOWem0ReenczBie54x/view?usp=drive_link https://drive.google.com/file/d/1ZzWw-472tlQjjaMYFVcVq0FGlJAfkK_8/view?usp=drive_link https://drive.google.com/file/d/1FPzQIUIPmDtzxAc4KYSQ4eGfDYqvX_rI/view?usp=drive_link https://drive.google.com/file/d/1xbH16wLu3vE83wKbIqkMpn6-2VaJrmzv/view?usp=drive_link https://drive.google.com/file/d/1-bnYywrZX40Axq5riiT90AvEquGzXJT0/view?usp=drive_link https://drive.google.com/file/d/1D1ZY7PkcLM85k67wYWMpYv_ONao-PW8z/view?usp=drive_link,2025-06-12T00:43:54.000Z,https://github.com/coleam00/ottomator-agents/tree/main/python-local-ai-agent,mNcXue7X8H0
AI Agent Development,Multi-Agent Orchestrator,"Multi-Agent Systems Have NEVER Been EASIER to Build (n8n, no code)","In this detailed demonstration, Nate Herk shows how to build a multi-agent orchestrator system using n8n's visual drag-and-drop interface. The workflow breaks down a complex task into specialized sub-agents (email, contacts, calendar, content creation) that communicate via sub-workflows, enabling robust task delegation. Key components include integration with Gmail, Airtable, and model selection (GPT-4.1 mini, Flash), all configured in n8n to provide a reusable, modular AI automation system.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=0iUNOmeU7O4,https://drive.google.com/file/d/1fl1KfmH2DaQihE9-xTlQ52hoJ4CcPkzs/view?usp=drive_link,2025-06-10T17:59:27.000Z,https://www.skool.com/ai-automation-society/new-video-multi-agent-systems-have-never-been-easier-to-build-n8n-no-code,0iUNOmeU7O4
AI Agent Development,Browser Agent,I Built the Ultimate Browser Agent with No Code (n8n + Airtop),"This system is a no-code browser agent that automates remote browser interactions using Airtop and OpenRouter. It leverages a workflow setup with tools to start browser sessions, load URLs, query DOM elements, perform click & type actions, and end sessions, mimicking human behavior. The agent can handle tasks such as scraping, interacting with authenticated websites, and executing dynamic searches. Created by Nate Herk, the setup includes a free JSON template available via his Skool community.",Nate Herk | AI Automation,https://www.youtube.com/watch?v=ar37oypyATQ,https://drive.google.com/file/d/1tPjnN9OmaaFDN3NOn7jduYqqTOR83nEH/view?usp=drive_link,2025-06-08T23:19:09.000Z,https://www.skool.com/ai-automation-society/new-video-i-built-the-ultimate-browser-agent-with-no-code-n8n-airtop,ar37oypyATQ,Web Scraping & Data Extraction
